,Query,URL,score,Ranking,QL_rank,DCG
0,Abraham Lincoln Gettysburg,http://www.abrahamlincolnonline.org/lincoln/speeches/gettysburg.htm,-4.462882938156278,1.0,0,1.0
12,Abraham Lincoln Gettysburg,https://quod.lib.umich.edu/j/jala/2629860.0016.108/--lincoln-and-the-gettysburg-awakening?rgn=main;view=fulltext;q1=gettysburg,-8.004437677513355,0.0,1,1.0
8,Abraham Lincoln Gettysburg,https://www.nationalaffairs.com/publications/detail/lincoln-at-gettysburg,-10.390535972519306,4.0,2,3.52371901428583
11,Abraham Lincoln Gettysburg,https://www.theatlantic.com/magazine/archive/2012/02/the-words-that-remade-america/308801/,-11.17187586511471,4.0,3,5.52371901428583
1,Abraham Lincoln Gettysburg,https://www.history.com/topics/american-civil-war/gettysburg-address,-11.535668276822308,4.0,4,7.246425246579403
16,Abraham Lincoln Gettysburg,https://www.wuwm.com/post/seven-facts-you-didnt-know-about-gettysburg-address,-12.645568525264268,0.0,5,7.246425246579403
14,Abraham Lincoln Gettysburg,https://dp.la/primary-source-sets/battle-of-gettysburg/sources/1483,-13.818050662498834,4.0,6,8.671253995011492
6,Abraham Lincoln Gettysburg,https://usa.usembassy.de/etexts/democrac/25.htm,-14.041194213813045,3.0,7,9.671253995011492
13,Abraham Lincoln Gettysburg,https://www.thedailybeast.com/how-abraham-lincoln-wrote-the-gettysburg-address,-14.079415426633242,0.0,8,9.671253995011492
17,Abraham Lincoln Gettysburg,http://gettysburg.stonesentinels.com/other-monuments/lincolns-gettysburg-address-memorial/,-14.14655472947087,3.0,9,10.574343982003436
5,Abraham Lincoln Gettysburg,https://www.americanrhetoric.com/speeches/gettysburgaddress.htm,-14.58019071454573,4.0,10,11.730603287274988
10,Abraham Lincoln Gettysburg,https://www.wbaltv.com/article/this-day-in-history-abraham-lincoln-delivers-gettysburg-address/29837521,-14.73434139437299,0.0,11,11.730603287274988
7,Abraham Lincoln Gettysburg,https://boingboing.net/2019/07/04/abraham-lincolns-gettysburg.html,-16.056097234355306,4.0,12,12.811555904984267
9,Abraham Lincoln Gettysburg,https://www.nps.gov/gett/planyourvisit/dedication-day.htm,-16.056097234355306,0.0,13,12.811555904984267
2,Abraham Lincoln Gettysburg,https://rmc.library.cornell.edu/gettysburg/good_cause/transcript.htm,-17.4423915954752,4.0,14,13.83538800422353
15,Abraham Lincoln Gettysburg,https://newsela.com/read/speeches-lincoln-gettysburg/id/15141/,-18.135538776035144,0.0,15,13.83538800422353
4,Abraham Lincoln Gettysburg,https://www.independent.co.uk/news/world/americas/abraham-lincoln-birthday-gettysburg-address-civil-war-us-president-trump-a8206946.html,-19.521833137155035,4.0,16,14.813990172696434
3,Abraham Lincoln Gettysburg,https://www.historynet.com/gettysburg-address-text,-19.521833137155035,3.0,17,15.533427572400829
