,Query,URL,score,Ranking,QL_rank,DCG
96,Gandhi's views on truth,https://en.wikiquote.org/wiki/Mahatma_Gandhi,-15.495735456083164,0.0,0,0.0
105,Gandhi's views on truth,https://www.webpages.uidaho.edu/ngier/ConfGandhi.htm,-16.199000766808695,3.0,1,3.0
90,Gandhi's views on truth,http://www.gandhi-manibhavan.org/gandhiphilosophy/philosophy_truth_meaning.htm,-19.65749900230819,4.0,2,5.52371901428583
94,Gandhi's views on truth,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/F86C65A2508AAC62A7ABBDC39CF4F20F/S0034670506000118a.pdf/div-class-title-nonviolence-and-gandhiandapos-s-truth-a-method-for-moral-and-political-arbitration-div.pdf,-20.260789853746275,0.0,3,5.52371901428583
104,Gandhi's views on truth,https://www.newyorker.com/magazine/2018/10/22/gandhi-for-the-post-truth-age,-21.018475555443793,2.0,4,6.385072130432616
93,Gandhi's views on truth,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3705687/,-21.146308926953672,4.0,5,7.932483359370782
102,Gandhi's views on truth,https://www.bbc.co.uk/religion/religions/hinduism/people/gandhi_1.shtml,-21.310611978244953,1.0,6,8.288690546478804
97,Gandhi's views on truth,https://timesofindia.indiatimes.com/blogs/the-rock-bottom/relevance-of-gandhianism-in-todays-world/,-21.59829405069673,0.0,7,8.288690546478804
103,Gandhi's views on truth,https://wagingnonviolence.org/2018/11/why-gandhis-ideas-continue-to-thrive-even-in-the-post-truth-era/,-22.157909838632154,3.0,8,9.235085176835991
91,Gandhi's views on truth,https://berkleycenter.georgetown.edu/quotes/mohandas-gandhi-on-the-meaning-of-truth,-23.256522127300265,0.0,9,9.235085176835991
98,Gandhi's views on truth,https://www.mkgandhi.org/truth/index.htm,-24.642816488420156,0.0,10,9.235085176835991
95,Gandhi's views on truth,http://www.sidewaysthoughts.com/blog/2014/05/three-lessons-from-gandhis-experiments-in-truth/,-25.3359636689801,2.0,11,9.79297106813825
99,Gandhi's views on truth,http://www.egyankosh.ac.in/bitstream/123456789/19476/1/Unit-6.pdf,-26.029110849540047,4.0,12,10.87392368584753
100,Gandhi's views on truth,https://www.independent.co.uk/arts-entertainment/books/features/thrill-of-the-chaste-the-truth-about-gandhis-sex-life-1937411.html,-26.029110849540047,0.0,13,10.87392368584753
101,Gandhi's views on truth,https://unesdoc.unesco.org/ark:/48223/pf0000071082,-26.029110849540047,1.0,14,11.129881710657346
92,Gandhi's views on truth,http://iosrjournals.org/iosr-jhss/papers/Vol18-issue4/H01846769.pdf,-26.029110849540047,3.0,15,11.879881710657346
89,Gandhi's views on truth,http://www.yourarticlelibrary.com/mahatma-gandhi/mahatma-gandhis-views-on-truth/38535,-26.029110849540047,3.0,16,12.613833337012023
