,Query,URL,score,Ranking,QL_rank,DCG
485,"quotes and opinions of elon musk, as attributed to them in news articles, social media, books, etc.",https://en.wikipedia.org/wiki/Criticism_of_Facebook,-64.36878627255174,0.0,0,0.0
481,"quotes and opinions of elon musk, as attributed to them in news articles, social media, books, etc.",https://www.popehat.com/2018/09/17/cave-diver-vernon-unsworth-sues-elon-musk/,-65.67661995368758,3.0,1,3.0
473,"quotes and opinions of elon musk, as attributed to them in news articles, social media, books, etc.",https://www.goodreads.com/book/show/25541028-elon-musk,-79.150082364029,3.0,2,4.892789260714372
480,"quotes and opinions of elon musk, as attributed to them in news articles, social media, books, etc.",https://medium.com/accelerated-intelligence/the-one-trait-that-elon-musk-ben-franklin-and-marie-curie-have-in-common-33114edfe279,-85.36959913145728,1.0,3,5.392789260714372
484,"quotes and opinions of elon musk, as attributed to them in news articles, social media, books, etc.",https://www.theguardian.com/commentisfree/2019/may/26/elon-musk-may-be-a-pain-but-that-doesnt-mean-his-ideas-are-crazy,-87.88449041700403,4.0,4,7.115495493007945
477,"quotes and opinions of elon musk, as attributed to them in news articles, social media, books, etc.",https://www.cnbc.com/2018/03/13/elon-musk-at-sxsw-a-i-is-more-dangerous-than-nuclear-weapons.html,-89.4706390746268,4.0,5,8.662906721946111
476,"quotes and opinions of elon musk, as attributed to them in news articles, social media, books, etc.",https://www.cnbc.com/2019/11/23/elon-musk-says-tesla-has-received-146000-orders-for-its-cybertruck.html,-91.21620916138548,4.0,6,10.0877354703782
474,"quotes and opinions of elon musk, as attributed to them in news articles, social media, books, etc.",https://apnews.com/b27a4b5d80a242f29d940ce563c13326/Elon-Musk's-social-media-conduct-may-be-bad-for-his-business,-93.21325723649917,2.0,7,10.754402137044867
475,"quotes and opinions of elon musk, as attributed to them in news articles, social media, books, etc.",https://www.theguardian.com/environment/2016/may/05/elon-musk-we-need-a-revolt-against-the-fossil-fuel-industry,-93.81614900791641,4.0,8,12.016261644187782
482,"quotes and opinions of elon musk, as attributed to them in news articles, social media, books, etc.",https://www.amazon.com/Elon-Musk-SpaceX-Fantastic-Future/dp/006230125X,-95.21879250703785,3.0,9,12.919351631179726
486,"quotes and opinions of elon musk, as attributed to them in news articles, social media, books, etc.","http://v1x0r.com/downloads/Books/Elon_Musk/Ashlee%20Vance%20-%20Elon%20Musk%3B%20Tesla,%20SpaceX,%20and%20the%20Quest%20for%20a%20Fantastic%20Future.pdf",-109.93057392998529,4.0,10,14.075610936451277
478,"quotes and opinions of elon musk, as attributed to them in news articles, social media, books, etc.",https://knowledge.wharton.upenn.edu/article/elon-musk-sec-twitter/,-110.62372111054523,3.0,11,14.912439773404666
479,"quotes and opinions of elon musk, as attributed to them in news articles, social media, books, etc.",https://waitbutwhy.com/2017/04/neuralink.html ,-110.62372111054523,2.0,12,15.452916082259305
483,"quotes and opinions of elon musk, as attributed to them in news articles, social media, books, etc.",https://seo.co/services/writing/,-110.62372111054523,0.0,13,15.452916082259305
